id,brand,model,description,price,list_1,list_2,list_3,list_4,list_5,list_6,list_7,list_8,list_9
190798,GUIALEMAR,cables,"DOCILE CANUDINHO Unicornio Frutilla 12 x 15 g (3 u)",1915.20,0,1915.20,1933.10,1952.50,1990.00,2026.00,2071.40,2110.50,2208.20
190799,GUIALEMAR,cables,"DOCILE CANUDINHO DINO Big Frutilla 24 x 26 g (1 u)",6830.90,0,6830.90,6894.60,6964.10,7097.80,7225.90,7388.20,7527.60,7876.00
190800,GUIALEMAR,"goma presentacion","DOCILE Gma Besos x 250 g (50 u)",1623.20,0,1623.20,1638.50,1655.00,1686.80,1717.20,1755.80,1788.80,1871.70
190801,GUIALEMAR,"goma presentacion","DOCILE Gma Dientes x 250 g (50 u)",1623.20,0,1623.20,1638.50,1655.00,1686.80,1717.20,1755.80,1788.80,1871.70
190802,GUIALEMAR,"goma presentacion","DOCILE Gma Fiesta  x 250 g (50 u)",1623.20,0,1623.20,1638.50,1655.00,1686.80,1717.20,1755.80,1788.80,1871.70
190803,GUIALEMAR,"goma presentacion","DOCILE Gma Ositos x 250 g (50 u)",1623.20,0,1623.20,1638.50,1655.00,1686.80,1717.20,1755.80,1788.80,1871.70
190804,GUIALEMAR,"goma presentacion","DOCILE Gma Mora x 250 g (50 u)",1623.20,0,1623.20,1638.50,1655.00,1686.80,1717.20,1755.80,1788.80,1871.70
190806,MARENGO,acidos,"MARENGO Clo Acido No Hay Plata x 100 u(450 g)",1916.80,0,1916.80,1934.70,1954.20,1991.70,2027.70,2073.20,2112.30,2210.10
190807,PEPAY,tapitas,"PEPAY Tapitas Argentina 6 x 500 g",11663.61,0,11663.61,11768.11,11881.95,12101.22,12311.17,12577.10,12805.71,13376.76
190808,TOPPS,especiales,"TOPPS Chup PushPop Duo x 20 u NUEVO",7140.70,0,7140.70,7207.30,7279.90,7419.80,7553.60,7723.20,7869.00,8233.20
190809,FANTOCHE,clasicos,"FANTOCHE Alf XS MTV 20 x 25g",3143.25,0,3143.25,3172.58,3204.54,3266.09,3325.03,3399.68,3463.86,3624.16
190811,BAGLEY,chocolinas,"BAGLEY Gta Chocolina 50 x 100 g",26578.60,0,26578.60,26820.60,27084.20,27592.10,28078.20,28694.10,29223.50,30546.00
